event_id,session_id,product_id,event_type,event_timestamp,price_at_event
1,1,,session_start,2024-01-31 07:37:00,
2,1,29,product_view,2024-01-31 07:38:01,31.91
3,2,,session_start,2024-01-19 15:03:00,
4,3,,session_start,2024-01-11 13:34:00,
5,3,11,product_view,2024-01-11 13:35:15,31.93
6,4,,session_start,2024-01-04 08:57:00,
7,5,,session_start,2024-01-01 08:32:00,
8,6,,session_start,2024-01-09 21:55:00,
9,6,30,product_view,2024-01-09 21:56:44,21.39
10,6,30,add_to_cart,2024-01-09 21:59:04,21.39
11,7,,session_start,2024-01-17 14:08:00,
12,8,,session_start,2024-01-19 19:59:00,
13,8,20,product_view,2024-01-19 19:59:36,16.55
14,9,,session_start,2024-01-02 15:13:00,
15,10,,session_start,2024-01-24 16:42:00,
16,11,,session_start,2024-01-27 15:10:00,
17,12,,session_start,2024-01-20 12:45:00,
18,12,9,product_view,2024-01-20 12:45:32,21.66
19,13,,session_start,2024-01-15 07:54:00,
20,14,,session_start,2024-01-07 17:43:00,
21,14,34,product_view,2024-01-07 17:44:49,22.78
22,15,,session_start,2024-01-27 14:41:00,
23,15,32,product_view,2024-01-27 14:42:57,30.79
24,16,,session_start,2024-01-24 22:22:00,
25,16,35,product_view,2024-01-24 22:22:48,37.81
26,17,,session_start,2024-01-26 19:02:00,
27,17,33,product_view,2024-01-26 19:03:12,56.13
28,18,,session_start,2024-01-19 08:10:00,
29,19,,session_start,2024-01-14 10:41:00,
30,19,6,product_view,2024-01-14 10:42:45,66.68
31,20,,session_start,2024-01-09 18:11:00,
32,21,,session_start,2024-01-30 07:14:00,
33,21,2,product_view,2024-01-30 07:15:33,78.95
34,22,,session_start,2024-01-22 13:46:00,
35,23,,session_start,2024-01-24 08:52:00,
36,23,16,product_view,2024-01-24 08:53:18,36.62
37,23,16,add_to_cart,2024-01-24 08:56:01,36.62
38,23,16,checkout,2024-01-24 08:58:17,36.62
39,23,16,purchase,2024-01-24 08:59:06,36.62
40,24,,session_start,2024-01-12 06:35:00,
41,25,,session_start,2024-01-26 14:58:00,
42,25,29,product_view,2024-01-26 14:59:51,35.23
43,26,,session_start,2024-01-09 11:42:00,
44,26,29,product_view,2024-01-09 11:43:58,32.84
45,27,,session_start,2024-01-17 13:36:00,
46,27,33,product_view,2024-01-17 13:36:11,50.0
47,28,,session_start,2024-01-02 07:05:00,
48,29,,session_start,2024-01-27 19:58:00,
49,29,23,product_view,2024-01-27 20:00:00,9.07
50,30,,session_start,2024-01-01 08:44:00,
51,30,10,product_view,2024-01-01 08:45:36,55.04
52,31,,session_start,2024-01-08 17:00:00,
53,31,35,product_view,2024-01-08 17:01:22,41.51
54,32,,session_start,2024-01-29 21:43:00,
55,32,18,product_view,2024-01-29 21:44:05,21.96
56,33,,session_start,2024-01-03 22:53:00,
57,33,13,product_view,2024-01-03 22:54:55,182.69
58,34,,session_start,2024-01-04 18:29:00,
59,34,22,product_view,2024-01-04 18:29:49,17.79
60,35,,session_start,2024-01-30 21:31:00,
61,35,36,product_view,2024-01-30 21:31:39,15.44
62,36,,session_start,2024-01-11 18:07:00,
63,36,26,product_view,2024-01-11 18:07:37,30.38
64,37,,session_start,2024-01-05 17:05:00,
65,37,24,product_view,2024-01-05 17:05:39,16.43
66,38,,session_start,2024-01-05 11:29:00,
67,38,25,product_view,2024-01-05 11:29:16,38.18
68,39,,session_start,2024-01-12 11:15:00,
69,40,,session_start,2024-01-29 08:19:00,
70,40,7,product_view,2024-01-29 08:20:33,91.34
